type,handle,platform,name,tier,followers,audience,contact,contactMethod,source,sourceAgency,creatorClass,recentBrandPosts,er,posts,rate,avgViews,avgGmv,gpm,retention,fee,commission,paymentTerms,proofLink,adCode,notes,stage
ugc,@minicolee,Instagram,Nicole,Micro,28.3k,"UGC, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@paperkitties,Instagram,Paperkitties,Micro,19.2k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@patdevogue,Instagram,Patricia,Micro,47k,"Lifestyle, Others",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@limpeifen,Instagram,Peifen,Micro,65k,"Lifestyle, Mum, Others, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@pinkiekittyloves,Instagram,Pinkie,Micro,10k,"Beauty, Lifestyle, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@_rachelallison_,Instagram,Rachel Allison,Micro,33k,"Beauty, Fashion, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@iamrachelwan,Instagram,Rachel Wan,Micro,73.9k,"Beauty, Lifestyle, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@becseu,Instagram,Rebecca,Micro,22k,"KOL, Beauty, Lifestyle, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@ripplesism,Instagram,Ripple,Micro,25.4k,"Beauty, Lifestyle, Mum, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@rozpho,Instagram,Roz,Micro,38k,"Mum, KOL, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@familystaysg,Instagram,Ruby,Micro,28k,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@savoirsam,Instagram,Samantha Cheok,Micro,22k,"Beauty, Lifestyle, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@society.os,Instagram,Samantha Goh,Micro,38k,"Beauty, Fashion, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@sarahxmiracle,Instagram,Sarah,Micro,81.5k,"Lifestyle, Family, Mum, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@sarxh.lim,Instagram,Sarah Lim,Micro,13k,"Beauty, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@seraph_sun,Instagram,Seraph,Micro,26k,"Mum, UGC, Lifestyle",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@seraphinayong,Instagram,Seraphina,Micro,15.6k,"KOL, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@somethingboutrenes,Instagram,Serene,Micro,10k,"UGC, Lifestyle, Beauty, Fashion, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@shannie.mollie,Instagram,Shannen,Micro,11k,"Mum, Lifestyle, UGC",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@missysharont,Instagram,Sharon,Micro,30k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
ugc,@thewanderingshe,Instagram,She,Micro,15k,"Mum, UGC, Family",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,contacted
ugc,@shennyyang,Instagram,Shenny,Micro,35k,"KOL, Lifestyle, Beauty, Fashion",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet: Valid handle; [MERGED: 2 duplicate entries from Instagram],sourced
ugc,@sherrainelaw,Instagram,Sherraine,Micro,11k,"UGC, Family, Mum",,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,declined
ugc,@sherry_walkmydreams,Instagram,Sherry,Micro,21k,,,,,,Creator,,,,,,,,,,,,,,Cleaned from KOL hub source sheet.,sourced
